N	sct3-unc_{[B]}	sct3-unc_{[us]}	sada-unc_{[B]}	sada-unc_{[us]}	sct3-suc_{[B]}	sct3-suc_{[us]}	sada-suc_{[B]}	sada-suc_{[us]}
10000	45917	604468	42850	385638	45917	617738	42850	416741	
20000	93441	311283	72091	304447	93441	339417	72091	327057	
30000	140126	405274	108510	413214	140126	451263	108510	437619	
40000	188075	508119	137879	501937	188075	528943	137879	524740	
50000	242880	609878	173705	599795	242880	619194	173705	625163	
60000	288685	700766	200362	692976	288685	712042	200362	716001	
70000	336634	838335	229325	823698	336634	856530	229325	849937	
80000	392487	983765	255734	976539	392487	994744	255734	1.04803e+06	
90000	443283	1.08648e+06	281367	1.15023e+06	443283	1.1386e+06	281367	1.1773e+06	
100000	502728	1.19605e+06	306682	1.18292e+06	502728	1.22501e+06	306682	1.21412e+06
