N	intv-unc{[B]}	sct3-unc_{[B]}	sct3-unc_{[us]}	sada-unc_{[B]}	sada-unc_{[us]}	intv-suc{[B]}	sct3-suc_{[B]}	sct3-suc_{[us]}	sada-suc_{[B]}	sada-suc_{[us]}
15000	120009	69502	617666	64845	400201	26265	69502	631450	64845	427358	
30000	240009	142677	407695	109604	396043	52513	142677	430625	109604	425181	
45000	360009	215636	560925	163202	563583	78761	215636	587779	163202	585834	
60000	480009	294595	739653	213753	697503	105009	294595	732304	213753	717986	
75000	600009	367283	859286	258432	857883	131265	367283	874042	258432	879523	
90000	720009	450978	1.00439e+06	299374	995379	157513	450978	1.01682e+06	299374	1.0427e+06	
105000	840009	538369	1.22052e+06	340069	1.26212e+06	183761	538369	1.24264e+06	340069	1.24195e+06	
120000	960009	615681	1.42574e+06	379244	1.43143e+06	210009	615681	1.4485e+06	379244	1.47232e+06	
135000	1080009	696560	1.61298e+06	421578	1.6518e+06	236265	696560	1.61977e+06	421578	1.63623e+06	
150000	1200009	773143	1.78091e+06	460881	1.79486e+06	262513	773143	1.79094e+06	460881	1.80428e+06
